alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,subsample,tol,warm_start,validation_fraction
0.37516557872851514,0.019014286128198325,friedman_mse,zero,0.7193901810364439,huber,2.0,0.9946110318761963,None,0.02904180608409973,0.8753099696291603,0.6015138967314656,0.35403628889802274,199,None,0.9709098521619943,0.0008824426408004218,True,None
None,0.01234963019255433,squared_error,zero,0.009479566263660887,squared_error,1.0,0.6055564182019062,None,0.19993048585762774,0.05661899755040181,0.9737817633226177,0.11638567021515211,495,None,0.6193860093330873,0.0004324619912671628,False,None
0.047403962307277725,0.012150897038028768,friedman_mse,None,0.07906191158233541,quantile,1.0,log2,2.0,0.19270825126995805,0.02595028596799398,0.23166293179652686,0.12051273301300586,493,None,0.6109966577826209,0.0008831949117361643,False,None
None,0.01325044568707964,squared_error,zero,0.625081625413373,absolute_error,4.0,log2,None,0.4847923138822793,0.7843576905377534,0.9395594426226249,0.4474136752138244,319,None,0.9228742350231168,0.0001384925020519195,False,None
0.9612108523249998,0.01689067697356303,friedman_mse,zero,0.6486305588668957,quantile,2.0,sqrt,17.0,0.30351712384334234,0.28572318284052084,0.2969772321983783,0.08263346953150125,394,None,0.4244014807063696,0.0004448815181755697,False,None
None,0.014137146876952342,friedman_mse,None,0.9265244160231348,squared_error,2.0,0.15015229778274072,43.0,0.05793452976256486,0.8722403224497179,0.6236748287007303,0.1654490124263246,97,None,0.3119823217156622,0.0003751833220267471,True,None
0.2754470711970741,0.011224868516954024,friedman_mse,None,1.1670545144669244,huber,1.0,sqrt,17.0,0.11799245987447787,0.26581225443856266,0.04139315594889292,0.3553314448428937,395,15.0,0.4403365018657701,0.00025171920233539623,False,0.8958678320778458
None,0.010171413823294055,squared_error,None,0.30015067497864995,squared_error,3.0,sqrt,5.0,0.4714267852789905,0.6082666010220474,0.6950901481066648,0.44023391950762886,219,None,0.296633685837714,0.0001554942598302706,True,None
0.1873834888271498,0.017851179969799555,friedman_mse,zero,0.969928186196875,quantile,1.0,0.11136204643370576,6.0,0.05502596226383838,0.23770722737939975,0.42768068083763006,0.40900738296124656,282,None,0.007952130531190704,0.0005607473025775658,False,None
0.6927435968573801,0.00538824667597043,squared_error,None,0.20294925060751667,quantile,1.0,sqrt,33.0,0.48589104136048034,0.9714848476471691,0.2525305135295388,0.24862425294619273,162,None,0.2858404943774676,8.68869473545328e-05,True,None
None,0.0006610146580109677,squared_error,None,0.7622216136416365,absolute_error,2.0,sqrt,48.0,0.22389158228654582,0.5623401959822566,0.5931040271555141,0.040426663166357624,233,None,0.24315993827742588,0.0008531397563798959,True,None
0.6338961810501338,0.01071549368149517,squared_error,zero,1.0033629947070855,quantile,3.0,log2,32.0,0.020387570777381958,0.6003020502450536,0.6778867974804401,0.008293914463928076,196,17.0,0.6461727904094499,0.00022436642900499143,True,0.6912468003643635
None,0.01675420211814656,friedman_mse,zero,0.8832593430889265,absolute_error,None,log2,None,0.11427501089864983,0.18477997216884026,0.9821861749861062,0.25831794563550714,418,15.0,0.9972536997579243,0.0010154193512887937,True,0.5587351601534905
0.6334683558159947,0.006780595820974014,friedman_mse,None,0.8721468146442872,huber,4.0,log2,46.0,0.4438850493804799,0.8600775203187452,0.9356993592267265,0.3926703255569718,153,18.0,0.5816866214364547,0.0004222827665617431,False,0.9401933090153206
0.006056522262372468,0.0032161610283499733,squared_error,zero,0.8312742372312318,quantile,5.0,sqrt,43.0,0.35608961067376793,0.24701183840930327,0.32607429846110847,0.37324570255901207,433,12.0,0.8502234104941779,0.0007076128923003434,True,0.5687402947321362
None,0.012726652363717908,squared_error,zero,0.7088450170726526,absolute_error,5.0,0.29626844362894006,33.0,0.453049393859277,0.44395997114491825,0.350728329286981,0.3225516810152824,416,7.0,0.8651675650719031,0.0002801852682415553,True,0.4996941865048676
None,0.012909445918143357,friedman_mse,zero,1.129550301223497,squared_error,None,sqrt,20.0,0.1850793501277222,0.025441159912338564,0.9283902440251377,0.21409207415865716,230,None,0.9646199770892528,0.0009030094554673601,False,None
None,0.005369497137803137,friedman_mse,zero,0.44822424051285914,absolute_error,None,log2,None,0.2850305850446825,0.10707931727699777,0.6153922194724706,0.49502692505213164,499,None,0.5193296523637367,0.0009273730719279555,False,None
None,0.014178219938202372,friedman_mse,None,0.3568121723773582,absolute_error,3.0,log2,None,0.30575685543284026,0.09151258621984011,0.006179677911212789,0.31394720747431804,69,None,0.07194091699992766,0.0004467838272138884,False,None
None,0.00751165905279888,squared_error,zero,0.6949361691954088,absolute_error,3.0,sqrt,21.0,0.2713223173537883,0.2962547108761561,0.5912424273084418,0.015250124969524714,229,7.0,0.8236005606596583,0.0004101906414112629,False,0.1279334521392329
None,0.005430858316394838,squared_error,None,0.5497181939364743,absolute_error,5.0,log2,None,0.3497561053835969,0.14821473932538357,0.13361267682072683,0.4847684335570795,155,16.0,0.04206751676787579,0.00044882090144479457,True,0.4340872168431613
None,0.0005070148683091502,friedman_mse,zero,1.0041761446146469,squared_error,4.0,sqrt,None,0.08664716003542289,0.16628060562841496,0.2509926552664307,0.27461333235306024,97,None,0.6611973767177313,0.0003299338969459429,False,None
None,0.008713457973557822,friedman_mse,None,0.05825935322997855,absolute_error,3.0,sqrt,6.0,0.007196744314877934,0.12595656786640932,0.046956639379731,0.020364401159485068,287,13.0,0.7046578593800237,0.0005241738290873252,True,0.09873632649035048
None,0.006926086421788016,squared_error,zero,0.780728419171316,absolute_error,2.0,log2,None,0.4433401936490238,0.27063272971837227,0.016289235750094364,0.4667181540397415,145,None,0.5403774484000625,0.0007339637693981411,True,None
0.6427768589281093,0.0005302262108324363,squared_error,zero,1.1292762897099489,quantile,4.0,log2,None,0.3216441092211766,0.46779463760102513,0.546071172526619,0.4707324043882626,372,None,0.9621905638239142,0.0009553506419560638,False,None
0.21537453058866576,0.007545181664559517,friedman_mse,None,0.7429046612054714,huber,1.0,log2,39.0,0.19269831048278252,0.690932055303817,0.34128394489477576,0.13034726411795156,440,5.0,0.6938903586919394,0.0003983366044531974,True,0.9367115037038516
None,0.016069618607696973,friedman_mse,zero,0.2139274525356674,squared_error,3.0,sqrt,None,0.20630883845571324,0.3816460677069904,0.7766365477812548,0.17040177012650892,239,14.0,0.8594127518430118,0.0004789940273750184,False,0.7511201967237059
None,0.007554577723525897,friedman_mse,zero,0.5968734288196932,squared_error,None,sqrt,None,0.04999244358093169,0.06343181145062153,0.9585829553863151,0.4235715720477949,314,None,0.9578008851264563,0.0007267699044243033,True,None
0.6322053749576295,0.008968910439566396,friedman_mse,zero,0.3953974544438991,huber,5.0,sqrt,None,0.39064802523560127,0.12335113741543056,0.9309981765816053,0.4871241042672051,447,None,0.056871154677350044,0.0007870355567910089,False,None
None,0.0028598336410567173,squared_error,zero,0.7428616759795132,squared_error,None,0.8781989408171953,27.0,0.35048456572956,0.08269024335782933,0.8220381992310659,0.3531211135782481,54,None,0.08583771408519192,0.0010366395785011754,False,None
0.8804796086697784,0.004733703873641575,friedman_mse,None,0.7112664865855411,quantile,None,0.271846472069286,None,0.3885734579637184,0.5678458454860692,0.4247977872377293,0.453177192547368,88,19.0,0.49362510429085915,6.135364476741907e-05,True,0.46919198135213214
0.7412328870497576,0.015343897062171435,friedman_mse,None,0.8940539883319575,huber,5.0,log2,None,0.18743528976185203,0.2954263741955789,0.8687305290612708,0.11179791925972632,183,13.0,0.013154474689816342,0.001019878826707639,False,0.044116752038625535
0.04435738251487459,0.01849286660447192,squared_error,None,0.3045882015870893,huber,4.0,sqrt,12.0,0.08310771595462646,0.22659229747990473,0.2951994528925904,0.49791568751468535,103,8.0,0.38520183137921993,0.0007871007058430192,True,0.9153390873274373
0.9504610725924821,0.017805275677818328,squared_error,zero,0.745159117361844,quantile,2.0,log2,15.0,0.1766761140130264,0.5930724557390212,0.07865690232801985,0.48719740383308324,241,None,0.6991617140197451,0.0005860963663441204,True,None
None,0.005419152850302597,friedman_mse,zero,0.09244045551899578,absolute_error,2.0,0.03626226874117201,3.0,0.29058131059041314,0.928257375283724,0.08366567161527083,0.43833074296289637,300,None,0.16583426113700095,0.0004612551165853691,True,None
None,0.0030083378220705638,friedman_mse,zero,0.4580690279572258,absolute_error,3.0,0.7710174565955904,None,0.4191643523555689,0.4782244666351753,0.4154046828353275,0.13670353596535312,360,10.0,0.692714397168912,0.0005843462750294631,False,0.7501608387205019
None,0.01537974830361021,friedman_mse,zero,1.0205768688128936,squared_error,5.0,log2,None,0.06457970757574749,0.9630969762314636,0.6065684598164292,0.11432140275173136,418,13.0,0.6191282404578958,0.00040816271803284054,True,0.1144440346074294
None,0.009524213935780283,friedman_mse,None,0.3703326877252593,squared_error,None,sqrt,32.0,0.4383268013291725,0.41307938334618466,0.1348812132221901,0.014391338156669486,256,None,0.6213095513534647,0.0007540797680992236,True,None
0.6176464483851948,0.019609254501847556,squared_error,zero,0.764973185946739,huber,3.0,0.2378060763594404,None,0.36319851632511413,0.5568988605922125,0.4514595369686883,0.4552356392016365,79,None,0.5246022760150112,0.0007476418714934634,True,None
None,0.009842325861590765,squared_error,zero,0.5519629074859136,absolute_error,None,sqrt,23.0,0.1643758051437541,0.642767453462409,0.24090547315941488,0.03793166405433196,298,None,0.12904583895777244,0.00020190269351229434,True,None
0.18088720507694925,0.01393002932454158,friedman_mse,None,1.0501811258253004,huber,5.0,log2,None,0.09614450940433539,0.05082774765021238,0.16976612800909238,0.1392951695159793,366,19.0,0.08970253375705561,0.0001706358711006008,True,0.46131798926469303
None,0.002574967965992878,squared_error,None,0.3868993176160348,absolute_error,1.0,0.4685910845819094,None,0.3438923585480415,0.521145356533714,0.15782070503347753,0.1886429826210363,386,15.0,0.8693011070355868,0.00013451700768068195,True,0.5976808041731752
0.2101399740133736,0.00740944205582764,squared_error,zero,0.7429057258363552,huber,None,log2,None,0.031170681255620725,0.15759135281432046,0.13398381165889078,0.34358275270166555,456,6.0,0.7506162320085874,8.047215273359416e-05,True,0.8673477660936486
None,0.004849410072694594,friedman_mse,None,0.45374099572554716,absolute_error,1.0,sqrt,None,0.044602164356028096,0.544800228451508,0.23398319513825142,0.17146343213913012,74,13.0,0.35610430327930476,0.000698822840291576,True,0.48010251965249595
