alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,subsample,tol,warm_start,validation_fraction
0.3751655787285151,0.0190142861281983,friedman_mse,zero,0.7193901810364439,huber,2,0.1848961463850163,None,0.0290418060840997,0.8753099696291603,0.6015138967314656,0.3540362888980227,199,None,0.9709098521619944,0.0008824426408004,True,None
0.9,0.0123496301925543,squared_error,zero,0.0094795662636608,squared_error,1,0.6899539497872208,None,0.1999304858576277,0.0566189975504018,0.9737817633226176,0.1163856702151521,495,None,0.6193860093330873,0.0004324619912671,False,None
0.0474039623072777,0.0121508970380287,friedman_mse,None,0.0790619115823354,quantile,1,log2,33.0,0.192708251269958,0.0259502859679939,0.2316629317965268,0.1205127330130058,493,None,0.6109966577826209,0.0008831949117361,False,None
0.9,0.0132504456870796,squared_error,zero,0.625081625413373,absolute_error,4,log2,None,0.4847923138822793,0.7843576905377534,0.9395594426226248,0.4474136752138244,319,None,0.9228742350231168,0.0001384925020519,False,None
0.9612108523249998,0.016890676973563,friedman_mse,zero,0.6486305588668957,quantile,2,sqrt,41.0,0.3035171238433423,0.2857231828405208,0.2969772321983783,0.0826334695315012,394,None,0.4244014807063696,0.0004448815181755,False,None
0.9,0.0141371468769523,friedman_mse,None,0.9265244160231348,squared_error,2,0.5350241263791875,27.0,0.0579345297625648,0.8722403224497179,0.6236748287007303,0.1654490124263246,97,None,0.3119823217156622,0.0003751833220267,True,None
0.2754470711970741,0.011224868516954,friedman_mse,None,1.1670545144669244,huber,1,sqrt,40.0,0.1179924598744778,0.2658122544385626,0.0413931559488929,0.3553314448428937,395,16.0,0.4403365018657701,0.0002517192023353,False,0.8958678320778458
0.9,0.010171413823294,squared_error,None,0.3001506749786499,squared_error,3,sqrt,31.0,0.4714267852789905,0.6082666010220474,0.6950901481066648,0.4402339195076288,219,None,0.296633685837714,0.0001554942598302,True,None
0.1873834888271498,0.0178511799697995,friedman_mse,zero,0.969928186196875,quantile,1,0.9809819036884823,22.0,0.0550259622638383,0.2377072273793997,0.42768068083763,0.4090073829612465,282,None,0.0079521305311907,0.0005607473025775,False,None
0.6927435968573801,0.0053882466759704,squared_error,None,0.2029492506075166,quantile,1,sqrt,33.0,0.4858910413604803,0.9714848476471692,0.2525305135295388,0.2486242529461927,162,None,0.2858404943774676,8.68869473545328e-05,True,None
0.9,0.0006610146580109,squared_error,None,0.7622216136416365,absolute_error,2,sqrt,24.0,0.2238915822865458,0.5623401959822566,0.5931040271555141,0.0404266631663576,233,None,0.2431599382774258,0.0008531397563798,True,None
0.6338961810501338,0.0107154936814951,squared_error,zero,1.0033629947070857,quantile,3,log2,4.0,0.0203875707773819,0.6003020502450536,0.6778867974804401,0.008293914463928,196,9.0,0.6461727904094499,0.0002243664290049,True,0.6912468003643635
0.9,0.0167542021181465,friedman_mse,zero,0.8832593430889265,absolute_error,None,log2,None,0.1142750108986498,0.1847799721688402,0.9821861749861062,0.2583179456355071,418,6.0,0.9972536997579244,0.0010154193512887,True,0.5587351601534905
0.6334683558159947,0.006780595820974,friedman_mse,None,0.8721468146442872,huber,4,log2,16.0,0.4438850493804799,0.8600775203187452,0.9356993592267264,0.3926703255569718,153,7.0,0.5816866214364547,0.0004222827665617,False,0.9401933090153206
0.0060565222623724,0.0032161610283499,squared_error,zero,0.8312742372312318,quantile,5,sqrt,37.0,0.3560896106737679,0.2470118384093032,0.3260742984611084,0.373245702559012,433,9.0,0.8502234104941779,0.0007076128923003,True,0.5687402947321362
0.9,0.0127266523637179,squared_error,zero,0.7088450170726526,absolute_error,5,0.6171351134308442,32.0,0.453049393859277,0.4439599711449182,0.350728329286981,0.3225516810152824,416,8.0,0.8651675650719031,0.0002801852682415,True,0.4996941865048676
0.9,0.0129094459181433,friedman_mse,zero,1.129550301223497,squared_error,None,sqrt,22.0,0.1850793501277222,0.0254411599123385,0.9283902440251376,0.2140920741586571,230,None,0.9646199770892528,0.0009030094554673,False,None
0.9,0.0053694971378031,friedman_mse,zero,0.4482242405128591,absolute_error,None,log2,None,0.2850305850446825,0.1070793172769977,0.6153922194724706,0.4950269250521316,499,None,0.5193296523637367,0.0009273730719279,False,None
0.9,0.0141782199382023,friedman_mse,None,0.3568121723773582,absolute_error,3,log2,None,0.3057568554328402,0.0915125862198401,0.0061796779112127,0.313947207474318,69,None,0.0719409169999276,0.0004467838272138,False,None
0.9,0.0075116590527988,squared_error,zero,0.6949361691954088,absolute_error,3,sqrt,47.0,0.2713223173537883,0.2962547108761561,0.5912424273084418,0.0152501249695247,229,10.0,0.8236005606596583,0.0004101906414112,False,0.1279334521392329
0.9,0.0054308583163948,squared_error,None,0.5497181939364743,absolute_error,5,log2,None,0.3497561053835969,0.1482147393253835,0.1336126768207268,0.4847684335570795,155,5.0,0.0420675167678757,0.0004488209014447,True,0.4340872168431613
0.9,0.0005070148683091,friedman_mse,zero,1.0041761446146469,squared_error,4,sqrt,None,0.0866471600354228,0.1662806056284149,0.2509926552664307,0.2746133323530602,97,None,0.6611973767177313,0.0003299338969459,False,None
0.9,0.0087134579735578,friedman_mse,None,0.0582593532299785,absolute_error,3,sqrt,45.0,0.0071967443148779,0.1259565678664093,0.046956639379731,0.020364401159485,287,18.0,0.7046578593800237,0.0005241738290873,True,0.0987363264903504
0.9,0.006926086421788,squared_error,zero,0.780728419171316,absolute_error,2,log2,None,0.4433401936490238,0.2706327297183722,0.0162892357500943,0.4667181540397415,145,None,0.5403774484000625,0.0007339637693981,True,None
0.6427768589281093,0.0005302262108324,squared_error,zero,1.1292762897099489,quantile,4,log2,None,0.3216441092211766,0.4677946376010251,0.546071172526619,0.4707324043882626,372,None,0.9621905638239142,0.000955350641956,False,None
0.2153745305886657,0.0075451816645595,friedman_mse,None,0.7429046612054714,huber,1,log2,14.0,0.1926983104827825,0.690932055303817,0.3412839448947757,0.1303472641179515,440,13.0,0.6938903586919394,0.0003983366044531,True,0.9367115037038516
0.9,0.0160696186076969,friedman_mse,zero,0.2139274525356674,squared_error,3,sqrt,None,0.2063088384557132,0.3816460677069904,0.7766365477812548,0.1704017701265089,239,17.0,0.8594127518430118,0.000478994027375,False,0.7511201967237059
0.9,0.0075545777235258,friedman_mse,zero,0.5968734288196932,squared_error,None,sqrt,None,0.0499924435809316,0.0634318114506215,0.9585829553863152,0.4235715720477949,314,None,0.9578008851264564,0.0007267699044243,True,None
0.6322053749576295,0.0089689104395663,friedman_mse,zero,0.3953974544438991,huber,5,sqrt,None,0.3906480252356012,0.1233511374154305,0.9309981765816052,0.4871241042672051,447,None,0.05687115467735,0.000787035556791,False,None
0.9,0.0028598336410567,squared_error,zero,0.7428616759795132,squared_error,None,0.792674681006289,5.0,0.35048456572956,0.0826902433578293,0.8220381992310659,0.3531211135782481,54,None,0.0858377140851919,0.0010366395785011,False,None
0.8804796086697784,0.0047337038736415,friedman_mse,None,0.7112664865855411,quantile,None,0.46929358643770874,None,0.3885734579637184,0.5678458454860692,0.4247977872377293,0.453177192547368,88,14.0,0.4936251042908591,6.135364476741907e-05,True,0.4691919813521321
