Max_spout,Spliters,Counters
1.0,1,1
1.0,1,2
1.0,1,3
1.0,1,4
1.0,1,5
1.0,1,6
1.0,1,7
1.0,1,8
1.0,1,9
1.0,1,10
1.0,1,11
1.0,1,12
1.0,1,13
1.0,1,14
1.0,1,15
1.0,1,16
1.0,1,17
1.0,1,18
1.0,2,1
1.0,2,2
1.0,2,3
1.0,2,4
1.0,2,5
1.0,2,6
1.0,2,7
1.0,2,8
1.0,2,9
1.0,2,10
1.0,2,11
1.0,2,12
1.0,2,13
1.0,2,14
1.0,2,15
1.0,2,16
1.0,2,17
1.0,2,18
1.0,3,1
1.0,3,2
1.0,3,3
1.0,3,4
1.0,3,5
1.0,3,6
1.0,3,7
1.0,3,8
1.0,3,9
1.0,3,10
1.0,3,11
1.0,3,12
1.0,3,13
1.0,3,14
1.0,3,15
1.0,3,16
1.0,3,17
1.0,3,18
1.0,4,1
1.0,4,2
1.0,4,3
1.0,4,4
1.0,4,5
1.0,4,6
1.0,4,7
1.0,4,8
1.0,4,9
1.0,4,10
1.0,4,11
1.0,4,12
1.0,4,13
1.0,4,14
1.0,4,15
1.0,4,16
1.0,4,17
1.0,4,18
1.0,5,1
1.0,5,2
1.0,5,3
1.0,5,4
1.0,5,5
1.0,5,6
1.0,5,7
1.0,5,8
1.0,5,9
1.0,5,10
1.0,5,11
1.0,5,12
1.0,5,13
1.0,5,14
1.0,5,15
1.0,5,16
1.0,5,17
1.0,5,18
1.0,6,1
1.0,6,2
1.0,6,3
1.0,6,4
1.0,6,5
1.0,6,6
1.0,6,7
1.0,6,8
1.0,6,9
1.0,6,10
1.0,6,11
1.0,6,12
1.0,6,13
1.0,6,14
1.0,6,15
1.0,6,16
1.0,6,17
1.0,6,18
10.0,1,1
10.0,1,2
10.0,1,3
10.0,1,4
10.0,1,5
10.0,1,6
10.0,1,7
10.0,1,8
10.0,1,9
10.0,1,10
10.0,1,11
10.0,1,12
10.0,1,13
10.0,1,14
10.0,1,15
10.0,1,16
10.0,1,17
10.0,1,18
10.0,2,1
10.0,2,2
10.0,2,3
10.0,2,4
10.0,2,5
10.0,2,6
10.0,2,7
10.0,2,8
10.0,2,9
10.0,2,10
10.0,2,11
10.0,2,12
10.0,2,13
10.0,2,14
10.0,2,15
10.0,2,16
10.0,2,17
10.0,2,18
10.0,3,1
10.0,3,2
10.0,3,3
10.0,3,4
10.0,3,5
10.0,3,6
10.0,3,7
10.0,3,8
10.0,3,9
10.0,3,10
10.0,3,11
10.0,3,12
10.0,3,13
10.0,3,14
10.0,3,15
10.0,3,16
10.0,3,17
10.0,3,18
10.0,4,1
10.0,4,2
10.0,4,3
10.0,4,4
10.0,4,5
10.0,4,6
10.0,4,7
10.0,4,8
10.0,4,9
10.0,4,10
10.0,4,11
10.0,4,12
10.0,4,13
10.0,4,14
10.0,4,15
10.0,4,16
10.0,4,17
10.0,4,18
10.0,5,1
10.0,5,2
10.0,5,3
10.0,5,4
10.0,5,5
10.0,5,6
10.0,5,7
10.0,5,8
10.0,5,9
10.0,5,10
10.0,5,11
10.0,5,12
10.0,5,13
10.0,5,14
10.0,5,15
10.0,5,16
10.0,5,17
10.0,5,18
10.0,6,1
10.0,6,2
10.0,6,3
10.0,6,4
10.0,6,5
10.0,6,6
10.0,6,7
10.0,6,8
10.0,6,9
10.0,6,10
10.0,6,11
10.0,6,12
10.0,6,13
10.0,6,14
10.0,6,15
10.0,6,16
10.0,6,17
10.0,6,18
100.0,1,1
100.0,1,2
100.0,1,3
100.0,1,4
100.0,1,5
100.0,1,6
100.0,1,7
100.0,1,8
100.0,1,9
100.0,1,10
100.0,1,11
100.0,1,12
100.0,1,13
100.0,1,14
100.0,1,15
100.0,1,16
100.0,1,17
100.0,1,18
100.0,2,1
100.0,2,2
100.0,2,3
100.0,2,4
100.0,2,5
100.0,2,6
100.0,2,7
100.0,2,8
100.0,2,9
100.0,2,10
100.0,2,11
100.0,2,12
100.0,2,13
100.0,2,14
100.0,2,15
100.0,2,16
100.0,2,17
100.0,2,18
100.0,3,1
100.0,3,2
100.0,3,3
100.0,3,4
100.0,3,5
100.0,3,6
100.0,3,7
100.0,3,8
100.0,3,9
100.0,3,10
100.0,3,11
100.0,3,12
100.0,3,13
100.0,3,14
100.0,3,15
100.0,3,16
100.0,3,17
100.0,3,18
100.0,4,1
100.0,4,2
100.0,4,3
100.0,4,4
100.0,4,5
100.0,4,6
100.0,4,7
100.0,4,8
100.0,4,9
100.0,4,10
100.0,4,11
100.0,4,12
100.0,4,13
100.0,4,14
100.0,4,15
100.0,4,16
100.0,4,17
100.0,4,18
100.0,5,1
100.0,5,2
100.0,5,3
100.0,5,4
100.0,5,5
100.0,5,6
100.0,5,7
100.0,5,8
100.0,5,9
100.0,5,10
100.0,5,11
100.0,5,12
100.0,5,13
100.0,5,14
100.0,5,15
100.0,5,16
100.0,5,17
100.0,5,18
100.0,6,1
100.0,6,2
100.0,6,3
100.0,6,4
100.0,6,5
100.0,6,6
100.0,6,7
100.0,6,8
100.0,6,9
100.0,6,10
100.0,6,11
100.0,6,12
100.0,6,13
100.0,6,14
100.0,6,15
100.0,6,16
100.0,6,17
100.0,6,18
1000.0,1,1
1000.0,1,2
1000.0,1,3
1000.0,1,4
1000.0,1,5
1000.0,1,6
1000.0,1,7
1000.0,1,8
1000.0,1,9
1000.0,1,10
1000.0,1,11
1000.0,1,12
1000.0,1,13
1000.0,1,14
1000.0,1,15
1000.0,1,16
1000.0,1,17
1000.0,1,18
1000.0,2,1
1000.0,2,2
1000.0,2,3
1000.0,2,4
1000.0,2,5
1000.0,2,6
1000.0,2,7
1000.0,2,8
1000.0,2,9
1000.0,2,10
1000.0,2,11
1000.0,2,12
1000.0,2,13
1000.0,2,14
1000.0,2,15
1000.0,2,16
1000.0,2,17
1000.0,2,18
1000.0,3,1
1000.0,3,2
1000.0,3,3
1000.0,3,4
1000.0,3,5
1000.0,3,6
1000.0,3,7
1000.0,3,8
1000.0,3,9
1000.0,3,10
1000.0,3,11
1000.0,3,12
1000.0,3,13
1000.0,3,14
1000.0,3,15
1000.0,3,16
1000.0,3,17
1000.0,3,18
1000.0,4,1
1000.0,4,2
1000.0,4,3
1000.0,4,4
1000.0,4,5
1000.0,4,6
1000.0,4,7
1000.0,4,8
1000.0,4,9
1000.0,4,10
1000.0,4,11
1000.0,4,12
1000.0,4,13
1000.0,4,14
1000.0,4,15
1000.0,4,16
1000.0,4,17
1000.0,4,18
1000.0,5,1
1000.0,5,2
1000.0,5,3
1000.0,5,4
1000.0,5,5
1000.0,5,6
1000.0,5,7
1000.0,5,8
1000.0,5,9
1000.0,5,10
1000.0,5,11
1000.0,5,12
1000.0,5,13
1000.0,5,14
1000.0,5,15
1000.0,5,16
1000.0,5,17
1000.0,5,18
1000.0,6,1
1000.0,6,2
1000.0,6,3
1000.0,6,4
1000.0,6,5
1000.0,6,6
1000.0,6,7
1000.0,6,8
1000.0,6,9
1000.0,6,10
1000.0,6,11
1000.0,6,12
1000.0,6,13
1000.0,6,14
1000.0,6,15
1000.0,6,16
1000.0,6,17
1000.0,6,18
10000.0,1,1
10000.0,1,2
10000.0,1,3
10000.0,1,4
10000.0,1,5
10000.0,1,6
10000.0,1,7
10000.0,1,8
10000.0,1,9
10000.0,1,10
10000.0,1,11
10000.0,1,12
10000.0,1,13
10000.0,1,14
10000.0,1,15
10000.0,1,16
10000.0,1,17
10000.0,1,18
10000.0,2,1
10000.0,2,2
10000.0,2,3
10000.0,2,4
10000.0,2,5
10000.0,2,6
10000.0,2,7
10000.0,2,8
10000.0,2,9
10000.0,2,10
10000.0,2,11
10000.0,2,12
10000.0,2,13
10000.0,2,14
10000.0,2,15
10000.0,2,16
10000.0,2,17
10000.0,2,18
10000.0,3,1
10000.0,3,2
10000.0,3,3
10000.0,3,4
10000.0,3,5
10000.0,3,6
10000.0,3,7
10000.0,3,8
10000.0,3,9
