Throughput+,Latency-
8006.2,419.16
10818.0,316.58
11601.0,286.42
11537.0,292.69
12999.0,237.04
12285.0,288.02
12032.0,275.01
13630.0,228.6
12168.0,268.84
13055.0,247.74
14500.0,229.24
12239.0,263.31
12596.0,260.77
15891.0,198.18
13164.0,244.6
12781.0,250.88
16487.0,191.92
12962.0,253.55
8587.7,377.76
11514.0,283.68
12493.0,261.6
14253.0,247.47
14658.0,247.88
14244.0,240.76
15192.0,214.55
16267.0,241.35
15377.0,217.16
16738.0,221.13
16819.0,213.84
15830.0,208.02
16286.0,186.2
17417.0,206.11
16529.0,206.59
18331.0,198.49
18839.0,193.46
15819.0,197.37
7905.6,416.37
11995.0,284.51
13484.0,246.75
14334.0,248.43
14845.0,232.94
14644.0,240.27
16029.0,254.05
16550.0,225.83
17202.0,205.13
17784.0,189.72
17484.0,196.27
18268.0,200.34
18222.0,199.7
17396.0,220.63
19206.0,177.95
18801.0,194.37
19818.0,185.14
18647.0,209.34
8297.3,386.33
11975.0,282.78
13958.0,241.05
14204.0,250.52
15173.0,254.59
15596.0,221.13
15648.0,228.73
16533.0,212.25
15607.0,205.96
17669.0,197.21
17728.0,204.74
18493.0,194.98
18710.0,179.83
17538.0,188.25
18404.0,192.67
17685.0,211.49
19895.0,181.35
18807.0,189.21
8381.5,402.22
11395.0,285.58
13665.0,247.65
14629.0,253.32
14958.0,230.14
15394.0,224.92
15979.0,201.95
15568.0,227.4
17086.0,205.78
18338.0,207.11
17640.0,200.79
18590.0,193.02
18384.0,230.66
17701.0,193.79
19350.0,217.33
19524.0,195.03
20391.0,176.12
19409.0,194.12
8439.5,391.66
11370.0,282.9
13978.0,239.83
14036.0,236.23
14816.0,248.53
15571.0,221.22
14952.0,211.67
16616.0,217.77
17646.0,210.41
18354.0,189.74
18004.0,219.26
18961.0,176.39
17982.0,185.49
18238.0,206.1
19629.0,189.2
19256.0,200.02
20024.0,176.57
19152.0,183.64
8337.3,394.28
11726.0,287.88
12804.0,250.71
12507.0,260.97
