Throughput+,Latency-
5882.9,503.02
7005.6,384.57
6892.6,372.64
7355.8,414.98
6709.0,404.29
7859.8,354.09
7380.4,393.85
6860.6,384.95
7353.9,400.27
7255.9,361.51
8100.7,354.71
7759.8,384.22
7285.0,418.19
6851.1,398.64
7686.8,384.66
7087.6,399.54
6941.9,378.72
7211.5,384.31
7776.9,364.95
8436.4,314.55
8711.4,319.03
7972.4,329.55
9191.1,307.32
8216.0,325.32
8878.6,313.45
9023.6,307.22
9224.8,310.57
9157.3,314.64
9394.9,312.75
9053.0,306.24
8708.4,300.43
8300.4,317.24
8523.1,309.71
8767.5,328.65
9841.7,287.27
9861.4,310.09
10114.0,286.39
10517.0,265.26
9882.4,289.29
9102.1,290.05
9130.4,283.66
9793.3,294.35
9484.2,281.69
9962.5,285.11
9381.8,265.39
9962.3,287.62
10419.0,270.49
9966.8,272.83
10170.0,264.22
10168.0,272.87
10060.0,281.63
9582.1,270.07
10115.0,263.71
10505.0,263.14
10382.0,276.56
9793.7,295.74
9322.5,305.17
9141.9,286.45
9442.7,286.84
9298.4,281.0
9424.6,282.2
10043.0,292.8
10214.0,266.68
10127.0,270.57
9834.2,275.67
9523.8,282.76
10221.0,270.13
9682.1,288.16
10323.0,275.56
9896.1,275.03
10153.0,280.22
9845.3,268.05
9549.3,273.54
9597.9,291.24
9823.6,283.79
9145.6,289.61
9793.1,281.33
9755.6,278.02
10170.0,275.25
9987.5,274.23
9818.8,267.21
10737.0,287.83
10250.0,261.07
10412.0,261.91
9892.8,276.75
9378.8,267.26
10405.0,272.98
10172.0,264.55
10090.0,268.18
10506.0,265.69
9954.6,275.92
10289.0,273.26
9480.2,283.06
9560.3,290.38
10358.0,282.01
9321.4,271.78
9267.4,278.68
10116.0,280.18
9817.1,279.38
10534.0,269.66
9615.2,274.74
10116.0,271.54
10510.0,262.29
10100.0,282.96
10818.0,253.93
10541.0,270.12
10645.0,268.72
10019.0,265.93
6407.6,462.69
6687.2,415.58
7133.9,387.76
6761.8,419.62
7598.4,357.0
7599.1,373.04
6921.5,391.23
7137.8,394.49
7277.6,394.18
7726.4,385.49
6753.0,402.31
7380.2,393.2
7503.5,388.63
7322.9,361.05
7048.7,366.02
6403.8,403.02
7444.2,387.8
7573.2,384.03
8689.6,351.3
8928.3,308.45
8500.1,333.37
8076.6,341.65
9013.1,322.27
8798.1,313.69
8618.9,312.04
8975.9,305.01
8805.2,311.97
8897.9,311.41
9173.2,293.55
8820.1,319.76
9511.7,307.6
8935.4,296.31
9096.3,299.0
9101.4,309.22
9503.5,298.16
8596.1,318.52
10600.0,276.16
9940.6,277.71
9116.2,292.05
9927.5,288.85
9908.6,290.47
9865.7,288.28
9986.8,288.98
9821.2,282.73
9482.3,278.57
9781.7,286.0
9375.2,284.85
10573.0,274.53
10386.0,272.9
