Throughput+,Latency-
4255.3,2.5621
4160.1,2.6057
4089.5,2.55
4156.9,2.5688
4013.8,2.5474
4194.1,2.5676
3964.2,2.5503
4294.7,4.7793
4343.6,2.381
4423.6,2.3538
4369.6,2.4306
4288.1,2.3965
4291.2,2.4462
4236.2,2.4647
4980.3,2.1598
5058.6,3.5506
4836.7,2.1283
4786.9,2.1468
4528.8,3.0358
4767.6,2.2173
4949.1,2.1277
4904.2,2.1626
5151.0,2.0815
4847.1,2.1376
4891.9,2.1503
4871.0,2.2277
4645.8,2.1468
4688.1,2.2277
8226.1,13.733
12697.0,9.2121
14870.0,8.1247
14807.0,7.5491
15374.0,7.1335
16019.0,7.3717
15103.0,7.3965
7006.2,15.859
14169.0,8.1471
18462.0,6.481
18652.0,6.2867
20233.0,5.7734
19505.0,5.6023
19335.0,5.641
8219.4,13.865
14591.0,7.6695
15736.0,7.2908
17161.0,6.5827
17130.0,6.2694
17209.0,6.2798
16140.0,7.2948
7524.2,13.959
16238.0,7.0838
20089.0,5.2988
20066.0,5.0202
19528.0,4.9185
19157.0,5.0006
18380.0,5.0711
8511.2,135.2
15515.0,75.825
18264.0,61.409
18652.0,62.08
20872.0,55.886
19875.0,53.539
20121.0,56.687
8746.0,117.57
18568.0,65.437
20814.0,53.103
24962.0,43.247
26373.0,40.169
25948.0,46.001
25565.0,39.447
8465.1,132.78
16941.0,65.185
20045.0,58.0
21448.0,54.396
20821.0,56.731
23240.0,51.463
21234.0,53.927
9214.4,116.13
20359.0,55.501
21587.0,48.702
23142.0,37.915
24892.0,41.478
23675.0,32.286
22884.0,33.092
10038.0,1063.6
20050.0,553.74
22015.0,511.62
24910.0,467.36
21808.0,470.82
23497.0,439.35
24392.0,419.91
8666.8,1239.5
22289.0,518.71
25805.0,463.33
28129.0,398.1
32399.0,332.68
33549.0,321.53
32815.0,341.28
9973.9,1105.8
19036.0,595.91
19858.0,549.73
22911.0,521.23
22122.0,501.11
22132.0,468.71
21701.0,482.7
11583.0,1038.1
22423.0,465.98
25492.0,310.14
25870.0,330.79
26596.0,273.88
25833.0,251.19
24255.0,336.78
9689.1,11175.0
20072.0,4961.1
29612.0,4304.9
20060.0,3340.5
20300.0,5131.3
20936.0,4748.4
20440.0,4563.6
7431.5,13541.0
22333.0,5447.8
29437.0,3740.0
30161.0,3483.2
35418.0,3138.8
33155.0,2972.0
31933.0,3296.5
8683.1,8988.0
17617.0,1981.7
18757.0,1658.8
18710.0,1802.8
19488.0,1691.8
21523.0,1524.7
21380.0,1384.5
21157.0,1439.6
20442.0,1956.1
26660.0,815.83
25202.0,1145.3
25977.0,1047.6
25530.0,1007.9
26558.0,1099.8
7473.9,53025.0
18689.0,51009.0
27212.0,25993.0
36900.0,17797.0
19390.0,41428.0
20828.0,41317.0
21145.0,41498.0
7217.6,79248.0
21514.0,38738.0
28808.0,35249.0
30669.0,27780.0
31491.0,29871.0
32561.0,27907.0
31825.0,28692.0
16832.0,24535.0
17911.0,1806.9
18216.0,1821.7
17859.0,2033.3
19842.0,1535.9
20932.0,1579.7
21527.0,1635.1
31179.0,6540.8
21251.0,1891.2
26583.0,1151.3
24757.0,1024.0
26315.0,928.18
25927.0,834.61
28650.0,776.38
43406.0,83233.0
51949.0,53632.0
41953.0,36772.0
41829.0,24516.0
54656.0,73740.0
44024.0,74403.0
50783.0,65193.0
38992.0,72496.0
44107.0,94541.0
45856.0,105000.0
47756.0,70551.0
53037.0,77350.0
51455.0,87048.0
65823.0,46988.0
26988.0,32624.0
19133.0,1814.2
19405.0,1592.6
19266.0,1713.3
20081.0,1764.9
19319.0,1711.5
20307.0,1817.5
30522.0,961.88
20812.0,2143.0
25226.0,856.82
26987.0,1218.0
26474.0,976.39
25167.0,974.89
26933.0,979.55
