Throughput+,Latency-
5434.7,1.8632
5552.9,1.8259
5529.9,1.8618
5646.8,1.8299
5534.5,1.8374
5420.2,1.8391
5377.6,1.8759
5377.4,1.8902
5220.9,1.8724
5481.0,1.9006
5300.4,1.9305
5258.8,1.9272
5201.2,1.9178
5042.6,1.9422
5257.5,1.9272
5283.2,1.9688
5190.9,1.9543
5137.8,1.9503
5698.4,1.8184
5801.6,1.7259
5791.9,1.7557
5775.6,1.7408
5846.6,1.8195
5546.3,1.8161
5594.7,1.8287
5534.4,1.8247
5406.0,1.8264
5370.8,1.8457
5378.1,1.8613
5577.5,1.8543
5602.6,1.852
5464.8,1.9197
5381.5,1.8954
5424.0,1.8711
5381.0,1.9208
5351.2,1.8451
6927.3,1.4724
7468.3,1.3264
7094.5,1.4339
7463.5,1.3638
7130.9,1.4207
7136.5,1.4391
7266.3,1.4241
6900.3,1.4368
6753.5,1.5161
6839.8,1.5172
6678.2,1.5247
6589.5,1.5266
7017.7,1.5023
6560.3,1.5364
6513.8,1.5659
6634.0,1.5347
6265.2,1.6202
6296.5,1.6335
6764.7,1.477
7928.6,1.3264
7331.2,1.3902
6916.1,1.4471
6869.1,1.4805
7207.0,1.4109
6763.1,1.5126
6386.8,1.531
6256.8,1.6328
6328.6,1.6178
6509.0,1.6195
6686.6,1.5439
6370.2,1.563
6071.9,1.6306
6276.2,1.6329
6251.3,1.6295
6151.7,1.6312
6241.1,1.6
7990.6,1.2994
7467.6,1.4
7040.8,1.446
6534.9,1.5195
7114.6,1.4161
7000.6,1.446
6855.4,1.4534
7004.2,1.4586
6683.8,1.5397
6437.4,1.5584
6673.1,1.5382
6573.8,1.5572
6373.1,1.5647
6400.4,1.5555
6345.6,1.5636
6304.4,1.5942
6394.5,1.6168
6293.2,1.6017
7226.1,1.404
7496.3,1.3678
7680.7,1.3299
7690.8,1.3
7532.7,1.3448
7767.2,1.3184
7767.6,1.331
7104.5,1.3724
7381.6,1.3855
7591.0,1.3139
7037.9,1.4329
7165.7,1.4295
7197.3,1.415
6914.1,1.4566
7042.3,1.4358
7150.8,1.4092
6858.3,1.4572
6857.8,1.4954
28203.0,3.4546
30487.0,3.2351
28894.0,3.4678
28996.0,3.4218
28189.0,3.5178
28862.0,3.5443
29503.0,3.4534
28536.0,3.5172
28657.0,3.4184
28244.0,3.4636
27273.0,3.5566
28007.0,3.5948
27695.0,3.5988
27587.0,3.6289
27492.0,3.6191
27584.0,3.6382
27657.0,3.6694
27734.0,3.6682
28180.0,3.5385
32999.0,3.0305
34032.0,2.9425
31513.0,3.1552
32465.0,3.0701
32716.0,3.0902
31642.0,3.2213
31045.0,3.2466
30945.0,3.2195
31649.0,3.1989
30705.0,3.2506
30864.0,3.2659
30675.0,3.2491
29973.0,3.3283
31084.0,3.2191
30324.0,3.2671
29708.0,3.3809
30311.0,3.3197
29324.0,3.3776
32680.0,3.058
31820.0,3.173
32064.0,3.1989
30710.0,3.2454
30616.0,3.3052
30044.0,3.3138
30063.0,3.3333
30268.0,3.358
30507.0,3.2954
30027.0,3.3538
29980.0,3.326
29956.0,3.3254
29954.0,3.3561
30182.0,3.3306
29242.0,3.4624
29452.0,3.4393
29004.0,3.4422
28420.0,3.4374
29418.0,3.5282
30954.0,3.258
30830.0,3.2615
30406.0,3.3592
30674.0,3.274
30177.0,3.3191
29361.0,3.4324
30121.0,3.3636
29304.0,3.4023
29849.0,3.3491
30191.0,3.3699
29871.0,3.3572
30010.0,3.389
29159.0,3.4936
28586.0,3.4746
28135.0,3.5179
28001.0,3.4593
29790.0,3.3747
31548.0,3.1333
28968.0,3.4356
30228.0,3.3734
31592.0,3.2717
30234.0,3.341
29903.0,3.374
30839.0,3.3064
30321.0,3.4058
30269.0,3.3514
28365.0,3.4786
28589.0,3.5364
28871.0,3.541
28961.0,3.4509
28524.0,3.5358
29568.0,3.4202
28762.0,3.4509
28791.0,3.511
30328.0,3.3034
34466.0,2.9167
33660.0,2.9644
32233.0,3.1626
32256.0,3.1328
31394.0,3.2462
31102.0,3.1728
31859.0,3.204
31656.0,3.1751
31625.0,3.1312
30909.0,3.222
31526.0,3.1931
30842.0,3.226
30848.0,3.2613
30885.0,3.2422
30727.0,3.2578
29777.0,3.3335
30611.0,3.2763
45494.0,22.179
46286.0,22.103
49918.0,20.812
46717.0,22.151
47456.0,21.389
51659.0,20.06
52115.0,19.205
51198.0,20.136
55090.0,18.567
53349.0,18.9
55611.0,17.024
53898.0,17.537
54443.0,17.328
53658.0,17.361
54676.0,16.838
55413.0,17.56
53428.0,17.798
54025.0,17.415
39997.0,25.032
46785.0,21.854
48120.0,21.603
45332.0,21.875
47051.0,22.11
47652.0,21.37
51649.0,19.832
47480.0,21.423
52608.0,19.265
54155.0,18.162
57860.0,16.393
54774.0,17.333
57293.0,15.94
55727.0,18.091
55625.0,16.808
57972.0,16.279
55616.0,17.036
55966.0,16.927
46137.0,22.012
51763.0,19.574
45752.0,21.69
45557.0,23.217
48057.0,20.875
52614.0,19.297
49943.0,20.323
53673.0,18.819
53573.0,18.501
54352.0,18.575
54634.0,18.193
55048.0,18.84
55170.0,18.374
55033.0,18.287
54598.0,18.623
54903.0,18.29
53660.0,18.863
54581.0,18.323
46605.0,22.206
33592.0,30.38
39276.0,26.5
42733.0,24.039
46977.0,21.811
49121.0,20.616
54730.0,18.332
49490.0,20.154
49746.0,19.719
50731.0,20.16
54203.0,20.194
50747.0,19.686
52643.0,19.134
50767.0,19.888
52719.0,19.139
52702.0,18.764
53212.0,19.881
50439.0,19.912
30879.0,32.695
36286.0,27.571
40247.0,25.347
39310.0,26.083
45951.0,22.136
44432.0,22.501
48844.0,20.129
52163.0,18.834
52754.0,19.392
52505.0,19.357
53875.0,18.737
52862.0,18.754
50365.0,19.829
50797.0,19.589
52117.0,19.199
49782.0,20.192
53022.0,18.921
51769.0,19.344
46071.0,21.241
51600.0,19.351
44198.0,22.409
43909.0,22.236
46010.0,21.097
46332.0,21.147
40728.0,24.383
47814.0,19.547
45665.0,20.214
45027.0,21.197
46910.0,19.079
47366.0,20.042
46496.0,18.653
48914.0,19.031
46076.0,19.476
46773.0,19.903
42239.0,21.375
45666.0,19.374
50502.0,197.06
53086.0,191.22
53398.0,197.34
52119.0,194.73
54852.0,184.6
55423.0,176.69
58797.0,173.93
53505.0,174.83
63205.0,143.47
58738.0,157.47
64284.0,143.66
66743.0,140.29
67571.0,146.65
67553.0,140.5
65559.0,146.59
70644.0,142.51
64267.0,155.39
67460.0,145.24
41689.0,239.02
47925.0,212.72
51798.0,195.36
48976.0,203.12
50993.0,205.93
53012.0,197.96
