Throughput+,Latency-
4602.9,2.25
4508.5,2.2534
4504.4,2.2747
4404.4,2.3335
4275.4,2.3254
4422.9,2.3844
4382.4,2.3919
4508.5,2.4379
4747.2,2.1477
4794.6,2.289
4752.9,2.2133
4686.7,2.2306
4643.2,2.2503
4606.4,2.2191
5384.6,1.9707
5591.7,1.9243
5372.8,1.9353
5258.3,2.0457
5131.6,2.0329
5143.0,2.0329
5160.4,2.0543
5318.7,1.9595
5361.1,1.9647
5202.6,1.941
5160.1,2.0405
5120.9,1.9902
4999.7,2.0329
4957.8,2.043
9276.1,12.039
14647.0,7.5798
15094.0,7.4457
15355.0,7.2769
15001.0,6.9301
15229.0,7.2642
15212.0,7.1578
8494.1,12.961
19208.0,5.7214
21618.0,4.8312
22005.0,4.774
21765.0,4.8266
22447.0,4.7671
22140.0,4.9532
8400.0,12.509
16797.0,6.415
17061.0,6.2092
17217.0,5.9988
17287.0,6.1786
16905.0,6.2653
15905.0,6.7601
8667.5,12.546
17814.0,5.4526
19636.0,4.711
19413.0,5.2046
20995.0,4.3988
19637.0,4.6353
19340.0,4.6347
10747.0,111.5
21959.0,53.857
21745.0,50.779
23144.0,48.175
22410.0,48.032
22591.0,49.335
23184.0,47.306
9506.6,109.87
24998.0,49.584
28972.0,44.161
30659.0,36.679
33320.0,34.184
31867.0,33.133
33784.0,32.883
9885.2,117.19
18806.0,58.44
21693.0,52.732
23160.0,45.546
21451.0,50.043
22544.0,47.847
21195.0,49.925
10467.0,102.54
22524.0,47.047
24578.0,38.387
23012.0,37.855
25459.0,33.369
24599.0,30.51
25682.0,29.727
9573.1,1132.4
22456.0,495.85
23770.0,478.53
23344.0,475.26
25936.0,446.51
25778.0,412.5
25595.0,446.03
9034.6,1217.3
26177.0,440.59
31480.0,342.65
35368.0,314.87
38846.0,299.2
38350.0,294.81
37037.0,312.07
10065.0,1100.4
22331.0,505.4
21866.0,471.82
22074.0,480.99
25959.0,435.89
23466.0,447.55
23344.0,433.98
9328.2,1175.0
22884.0,424.46
27448.0,277.18
26511.0,307.33
27644.0,254.64
27234.0,277.65
27640.0,300.68
9549.7,10420.0
18950.0,5687.4
20267.0,5414.6
21076.0,5170.7
21385.0,4985.3
20039.0,5536.3
20923.0,5250.0
8922.4,11828.0
25630.0,4190.6
33463.0,3441.6
34739.0,3308.0
33345.0,3375.2
34157.0,3154.6
31974.0,3259.4
9504.8,11114.0
19143.0,1658.2
21413.0,1751.1
21810.0,1437.6
20768.0,1526.2
22331.0,1447.1
21871.0,1573.4
11814.0,8104.6
22006.0,1871.2
25263.0,1057.2
27814.0,655.03
27995.0,832.75
27720.0,745.04
29288.0,898.52
9136.9,82037.0
18463.0,48084.0
19583.0,46923.0
20241.0,48535.0
22344.0,43826.0
21114.0,46172.0
21202.0,45261.0
7977.6,78965.0
26935.0,35250.0
30621.0,30120.0
32491.0,31515.0
35034.0,28760.0
34852.0,27668.0
34687.0,28743.0
10023.0,70985.0
18567.0,1733.9
21296.0,1548.2
20921.0,1589.0
20378.0,1540.1
21716.0,1473.6
21210.0,1826.1
10376.0,64210.0
21885.0,1960.1
25775.0,1066.2
27096.0,843.62
29156.0,697.91
27609.0,931.89
28055.0,874.78
57603.0,99722.0
58279.0,88542.0
54006.0,89234.0
55495.0,82624.0
55320.0,91290.0
58616.0,84497.0
58326.0,86354.0
38501.0,72876.0
42537.0,85607.0
56964.0,72319.0
72394.0,58477.0
64455.0,65922.0
58581.0,59230.0
53112.0,69276.0
51244.0,80453.0
19409.0,1785.0
18902.0,1623.2
21188.0,1713.5
21921.0,1464.6
21614.0,1450.2
20184.0,1516.5
52828.0,73243.0
22139.0,1764.9
28016.0,890.11
28562.0,638.08
28919.0,741.02
26632.0,824.51
28388.0,887.67
