Throughput+,Latency-
9260.0,104.57
9282.3,103.32
9375.7,101.58
8945.8,110.33
9213.3,102.99
9453.5,101.19
9267.3,107.04
9334.2,102.94
9249.4,103.98
9083.2,106.7
9395.3,104.4
9314.8,102.73
9283.7,103.14
9333.8,102.77
9023.6,110.07
10871.0,90.738
10644.0,92.735
10703.0,92.15
10750.0,90.004
11009.0,90.522
10820.0,93.632
10991.0,90.148
10874.0,90.62
10917.0,89.624
10803.0,91.932
10793.0,92.613
10839.0,91.767
10979.0,89.199
10817.0,92.744
10620.0,92.693
13009.0,75.129
12721.0,77.152
12463.0,79.078
12901.0,77.71
2122.2,167.26
12633.0,78.619
12959.0,76.212
12561.0,79.292
12171.0,81.11
12597.0,80.093
12305.0,82.948
11983.0,80.941
12503.0,80.717
12276.0,82.332
12221.0,79.187
13551.0,71.47
14178.0,68.567
13516.0,71.818
13677.0,73.65
14223.0,67.023
14074.0,69.475
14672.0,66.689
13611.0,70.129
14277.0,68.234
14290.0,68.155
13915.0,69.791
13955.0,69.705
13599.0,73.403
14207.0,69.085
14702.0,65.645
14975.0,65.207
14719.0,65.299
14570.0,66.392
15293.0,63.421
15145.0,64.861
14318.0,68.578
14748.0,65.825
14733.0,65.498
13940.0,72.766
15037.0,64.194
13976.0,67.493
14557.0,69.437
14117.0,68.127
14686.0,65.76
14722.0,66.798
15337.0,64.027
15166.0,63.527
14905.0,64.588
15001.0,66.233
14910.0,67.445
14646.0,68.492
15059.0,63.972
14805.0,68.305
14589.0,65.733
14767.0,65.394
14971.0,64.789
14742.0,66.966
14220.0,66.596
14557.0,66.947
14527.0,67.116
7914.2,130.0
7878.8,125.61
7965.2,124.28
7828.6,129.22
7845.4,126.82
7811.1,127.36
8074.2,124.25
7954.7,126.38
8056.0,124.54
7890.0,126.63
8083.9,124.77
7978.3,122.71
8012.6,126.01
8084.2,123.81
7810.2,127.93
11323.0,86.081
11259.0,85.93
11125.0,86.779
10718.0,89.321
11303.0,85.569
11100.0,88.202
11235.0,85.496
10979.0,90.24
11311.0,86.368
11302.0,83.442
11185.0,86.291
11154.0,87.62
11123.0,88.986
11067.0,87.06
11455.0,83.516
14411.0,69.1
14361.0,67.604
14302.0,67.396
14327.0,67.328
14343.0,67.011
14099.0,68.713
14573.0,68.835
14197.0,69.457
14608.0,65.23
14060.0,72.272
14584.0,66.234
14101.0,70.731
13996.0,70.993
14210.0,68.822
14328.0,67.434
16959.0,56.933
17478.0,55.122
16825.0,60.046
17898.0,54.633
17299.0,55.711
17542.0,55.96
17189.0,57.059
17406.0,54.938
16684.0,59.877
16393.0,61.68
17130.0,60.02
17418.0,55.344
17083.0,57.549
17497.0,54.146
16455.0,61.412
18928.0,52.784
19371.0,51.331
19992.0,47.622
18889.0,52.377
