Throughput+,Latency-
22657.0,3.9833
3596.3,18.415
112.56,217.63
12273.0,5.1952
1174.9,24.247
111.88,205.49
12024.0,5.2935
1151.3,25.039
94.294,220.62
11552.0,6.2867
1228.1,24.975
102.29,236.19
25978.0,3.4782
10112.0,9.2847
1023.8,83.236
24147.0,3.6594
8400.2,11.804
1197.4,73.786
22858.0,3.7151
7141.3,10.755
1095.1,78.624
22693.0,4.3637
6281.5,14.308
951.27,71.492
25862.0,3.8521
10859.0,8.6452
1128.8,79.862
23553.0,3.9048
9734.3,9.345
982.0,66.852
25408.0,3.5738
7993.9,9.2784
1056.6,74.418
25151.0,4.3685
6490.1,12.267
890.33,90.521
25709.0,3.52
10811.0,8.645
1310.2,73.396
24950.0,3.9642
9564.6,9.7595
1297.5,64.184
25113.0,3.6288
8569.0,8.637
1065.5,70.385
25327.0,3.6521
7652.2,10.399
1228.9,78.21
24394.0,3.4037
11320.0,8.4771
1177.0,68.858
25810.0,3.6102
10239.0,8.9053
1272.2,70.905
24451.0,3.5715
5288.8,9.8958
1248.7,80.725
24212.0,3.6827
6646.4,12.432
1144.8,83.837
20755.0,4.0268
3154.5,15.595
318.28,128.0
12164.0,5.0291
2703.7,18.804
331.29,137.53
12190.0,5.156
2127.8,23.5
363.06,152.7
12893.0,5.6128
1336.1,25.679
344.76,178.61
27570.0,3.6416
10316.0,8.8329
1024.4,88.188
25330.0,3.394
7879.2,10.637
1096.3,80.847
25435.0,3.4625
8531.8,9.3814
971.4,73.145
24526.0,3.7329
7615.6,11.198
829.31,98.881
28515.0,3.2159
11676.0,7.9952
1064.0,65.079
24767.0,3.585
7434.8,8.4112
1222.0,65.76
27358.0,3.5835
8382.4,8.5012
1297.9,75.165
25183.0,3.4447
9078.2,10.0
876.5,83.818
27483.0,3.5464
11558.0,8.5318
996.0,69.778
26621.0,3.6629
9221.7,8.1541
878.1,68.837
27433.0,3.6476
8535.6,8.7319
1442.1,69.313
26480.0,3.979
9055.0,9.8389
1086.6,84.449
28697.0,3.555
11962.0,7.821
1403.9,60.38
28461.0,3.2435
9285.6,9.2364
1134.6,73.012
28099.0,3.3671
8034.7,8.8802
927.0,81.577
26698.0,3.5085
7788.4,10.736
916.08,85.027
36574.0,2.091
36421.0,2.0
36570.0,2.0452
35063.0,2.1
36597.0,2.0339
36563.0,2.0216
33987.0,2.1
35831.0,2.1
35769.0,2.1333
30535.0,2.6917
31722.0,2.6655
31394.0,2.5313
36714.0,2.0
35764.0,2.0
36635.0,2.0036
36006.0,1.9679
37902.0,1.928
36538.0,2.0006
38129.0,1.9659
35933.0,1.9772
36540.0,2.0083
36304.0,2.1963
34169.0,2.1371
34786.0,2.2464
36420.0,2.0
36629.0,2.0
37340.0,2.0
37217.0,2.0
36596.0,1.9595
36916.0,2.0
38032.0,2.0269
37651.0,1.9509
37759.0,2.0458
36952.0,2.0145
35424.0,2.3169
36881.0,2.2148
37948.0,2.0216
37671.0,2.0
36839.0,2.0
37244.0,2.0114
36449.0,2.22
37536.0,1.9
35696.0,2.0101
37311.0,1.9341
37562.0,1.9218
36457.0,2.1881
37154.0,2.3671
36278.0,2.352
36512.0,2.0
37531.0,1.9411
36438.0,2.0
37046.0,2.0048
36451.0,2.0
36947.0,1.9653
37724.0,2.0518
35939.0,1.9115
38199.0,2.0488
35782.0,2.0894
34570.0,2.4295
37545.0,2.2921
36975.0,2.472
36283.0,2.156
36576.0,2.0297
35920.0,2.3425
36679.0,2.4231
35804.0,2.1
35816.0,2.19
36061.0,2.1435
36210.0,2.1433
28405.0,3.3012
26976.0,3.3667
30408.0,2.7574
37954.0,2.0
37038.0,2.0
37941.0,1.9786
36497.0,2.0357
35386.0,1.9707
35664.0,2.3131
37295.0,2.0
37743.0,2.0121
37674.0,2.0
33139.0,2.3199
33912.0,2.6764
36125.0,2.4156
37956.0,2.2629
37079.0,2.3329
37054.0,1.9707
36179.0,2.0289
37170.0,2.0399
37791.0,2.0
36099.0,2.0121
37801.0,2.0138
36736.0,1.9946
37652.0,2.3309
35763.0,2.0853
34316.0,2.3382
37585.0,2.2406
35565.0,1.9512
36502.0,2.0
37420.0,1.9886
36492.0,2.0067
36592.0,2.0006
37556.0,2.3422
36481.0,1.9869
37451.0,1.9641
37170.0,2.1832
37449.0,2.5804
36707.0,2.5689
37534.0,1.9
37138.0,1.9115
36151.0,1.9524
37649.0,2.0
38504.0,2.0226
36624.0,2.0102
37135.0,2.0982
34558.0,1.9466
36916.0,2.1735
36614.0,2.6339
35341.0,2.76
37225.0,2.0424
35656.0,2.0945
36589.0,2.0
37183.0,2.0018
35801.0,2.3494
35531.0,2.5222
36131.0,2.0695
35150.0,2.547
35740.0,2.3422
35011.0,2.1981
27569.0,3.6012
27083.0,3.5096
27357.0,3.4209
35913.0,2.1235
37133.0,2.3072
37386.0,2.2515
38073.0,2.0142
35689.0,2.0183
36069.0,2.0084
37031.0,2.3524
36411.0,2.0814
37235.0,2.3416
34577.0,2.4107
34504.0,2.5765
35518.0,2.5576
36653.0,1.9643
35944.0,2.1012
36341.0,2.0349
38089.0,2.2994
36762.0,2.6327
37993.0,2.1795
37626.0,2.0818
37838.0,2.0524
36792.0,2.4298
34882.0,3.0873
34838.0,2.3226
35470.0,2.5393
36133.0,2.0066
37357.0,2.0
38260.0,2.0
38269.0,2.0
37106.0,2.053
37066.0,2.0456
36255.0,2.0567
37059.0,2.0351
37743.0,2.2964
34743.0,2.2571
33198.0,2.7953
33486.0,2.4805
38124.0,2.0
36806.0,2.0179
37734.0,2.0
34935.0,2.1671
