Throughput+,Latency-
2221.3,4.4468
2252.4,4.405
2339.1,4.4484
2150.4,4.4822
2225.4,4.4268
2233.1,4.4785
2215.5,4.5171
2124.7,4.6677
2260.8,4.5484
1993.2,4.6159
2208.4,4.6134
2199.6,4.5637
2377.4,4.2424
2431.4,4.3134
2427.0,4.1886
2153.5,4.5248
2146.1,4.538
2195.0,4.558
2177.6,4.6177
2211.6,4.6241
2249.9,4.6823
2201.8,4.6904
2240.6,4.5742
2091.9,4.6747
3052.8,3.5077
2787.0,3.4968
2780.9,3.5415
3016.6,3.5633
3070.8,3.3944
3032.4,3.4557
2863.9,3.4955
2824.4,3.4097
2937.4,3.46
2639.6,3.5019
2913.6,3.5121
2811.3,3.607
2499.4,3.6658
2672.8,3.5718
2747.8,3.5026
3022.4,3.3911
3011.1,3.4513
2906.1,3.3172
2842.4,7.6576
2933.1,3.4768
2897.8,3.4791
2828.0,3.4506
2853.2,3.484
2773.1,3.5139
1949.9,5.49
2058.6,5.2346
1904.4,5.3567
2061.6,5.1373
2039.4,5.2128
2059.6,5.0699
1900.6,5.3701
2024.4,5.2684
1902.9,5.3351
1871.1,5.3401
1935.9,5.3387
1828.4,5.281
2131.6,4.8949
2105.4,4.905
2043.1,4.9675
2024.8,5.1239
2059.7,4.9987
1930.5,5.1377
1923.9,5.1432
1934.8,5.139
2002.2,5.1478
1897.6,5.4703
1878.6,5.1627
1853.2,5.4166
2195.1,4.4675
2218.6,4.5089
2178.8,4.5103
2328.0,4.291
2296.1,4.3764
2298.9,4.3585
2244.8,4.307
2271.5,4.2994
2249.0,4.5131
2234.6,4.5767
2195.8,4.3609
2276.9,4.4103
2215.4,4.5206
2226.2,4.3057
2186.9,4.4787
2329.1,4.379
2309.2,4.2981
2331.9,4.3381
2205.5,4.3737
2306.2,4.3308
2230.9,4.3968
2311.2,4.3378
2224.8,4.3703
2323.4,4.4231
1585.9,6.1904
1558.7,6.0909
1684.1,6.107
1620.4,6.0975
1632.9,6.207
1624.9,5.9981
1669.5,6.1188
1611.8,6.3713
1574.6,6.1561
1568.2,6.3122
1617.0,6.1555
1623.1,6.1748
1834.4,5.7019
1712.3,5.8506
1778.3,5.8025
1681.6,6.0442
1757.4,6.0619
1713.9,6.1587
1561.1,6.1697
1655.8,6.0804
1599.6,6.1652
1646.8,6.1045
1680.9,6.1146
1623.2,6.1705
2105.5,4.9466
2119.5,4.8406
2105.8,4.9475
2010.2,4.9271
2141.3,4.8791
2196.2,4.8299
2111.5,4.8937
2114.3,4.9
2073.1,4.8477
1907.6,5.1892
1875.6,5.1301
1979.1,5.1923
2153.1,4.7158
2147.8,4.884
2226.6,4.9139
2104.8,4.7522
2090.1,4.9057
2140.8,4.7925
1954.1,4.9799
2011.5,5.0026
1960.8,4.9731
1943.5,5.2083
1987.8,5.0696
1943.6,5.1408
955.06,11.268
936.94,11.129
897.12,11.148
897.41,21.977
877.88,10.837
902.38,11.05
919.41,11.253
857.06,10.922
925.75,11.217
900.76,10.928
882.0,10.994
920.88,10.843
917.25,23.964
884.56,22.432
902.12,11.2
869.24,10.879
902.41,10.809
893.71,23.573
890.12,10.801
928.44,11.033
876.75,10.774
949.81,10.91
841.71,10.94
898.76,10.858
893.82,11.198
896.94,10.849
918.76,10.874
917.53,10.984
889.71,10.91
912.0,10.827
925.59,10.696
915.35,10.829
901.75,10.577
831.06,10.706
867.0,10.754
944.31,10.723
865.76,20.952
877.35,11.109
890.24,10.881
919.62,10.906
897.69,10.994
919.69,10.765
890.75,10.763
949.82,11.083
918.94,10.583
937.06,10.631
933.69,10.794
949.75,10.662
89.412,213.14
89.941,100.38
103.12,101.53
92.688,100.55
90.588,100.3
88.062,101.64
96.5,101.73
90.562,100.37
94.588,100.3
100.12,101.78
89.941,101.53
90.25,100.4
97.882,100.37
88.471,101.6
95.125,100.3
94.75,100.41
96.176,100.51
81.882,101.85
89.059,100.64
107.41,100.44
84.529,218.24
85.706,100.4
98.471,100.34
92.118,100.3
89.529,100.32
99.625,100.38
101.29,100.43
81.812,100.39
83.588,100.48
102.44,100.42
97.059,100.48
94.235,100.4
94.294,100.41
94.235,100.33
72.75,101.46
104.25,100.47
82.412,100.38
102.88,100.47
87.235,100.32
100.06,100.37
87.625,100.41
96.176,100.42
88.353,100.38
106.69,100.44
78.75,102.09
90.938,100.46
98.529,100.41
91.647,100.5
4024.2,4.9752
3847.5,7.6709
4067.4,4.975
4268.0,4.6327
4303.6,4.6888
4257.5,4.5601
4075.8,4.742
4100.6,4.8188
4122.1,4.6654
3955.6,4.8848
3924.0,4.8058
4267.6,5.3365
4792.8,4.4127
4802.5,4.3792
4775.6,4.2854
4146.8,4.6404
4258.5,4.6938
3984.9,4.6135
4166.2,4.6842
4113.8,7.3239
4088.6,4.7191
4229.9,4.6703
4133.6,4.8437
4098.5,4.7506
4645.9,4.251
4655.7,4.295
4710.1,4.2084
5186.6,3.7197
5400.1,3.714
5350.4,3.7956
4971.7,3.9013
5019.4,3.9929
5171.8,3.9803
4973.1,3.9408
4959.9,3.9865
4943.9,3.9771
4746.7,4.0753
4752.2,4.1051
4705.4,4.395
5171.2,3.8101
5353.9,3.7656
5156.8,3.7782
5083.4,3.9164
4893.2,3.8786
5198.4,3.8956
4862.5,4.0115
4865.2,3.9855
5005.2,4.0256
3463.2,5.7478
3540.6,5.7538
3620.8,5.6302
3706.6,5.3713
3664.1,5.3532
3667.8,5.3866
3666.8,5.4404
3549.6,5.5331
3495.6,5.4591
