A-,B-
210.34,27
201.15,26
202.23,26
204.05,26
199.95,26
203.18,26
201.52,26
204.99,26
200.66,27
202.39,26
201.9,26
203.64,26
205.13,26
205.99,26
206.9,26
200.38,29
201.83,29
203.53,29
205.21,29
202.06,29
205.36,29
203.98,29
207.12,29
201.47,29
203.19,29
203.19,29
204.96,29
204.73,29
206.43,29
206.35,29
208.05,29
199.68,29
201.55,29
202.93,29
204.69,29
200.82,29
204.05,29
202.69,29
205.95,29
200.92,29
202.94,29
201.97,29
203.93,29
204.29,29
205.47,29
206.23,29
207.23,29
201.7,29
203.56,29
205.09,29
206.62,29
202.81,29
206.12,29
204.96,29
207.89,29
202.68,29
204.51,29
203.86,29
205.74,29
205.71,29
207.1,29
207.65,29
208.92,29
207.75,15
209.7,15
211.39,14
213.18,13
208.37,15
212.94,14
210.24,14
214.72,13
210.71,15
212.52,15
211.19,14
212.94,14
214.25,14
215.85,14
215.88,14
217.29,14
208.99,15
211.27,15
212.93,14
214.34,14
211.59,15
215.31,14
213.85,15
216.84,14
209.84,14
211.59,15
212.45,15
214.15,15
214.31,14
216.91,14
215.74,14
218.15,14
209.58,15
211.74,15
213.6,14
214.89,14
211.0,14
215.01,14
212.05,15
216.37,14
210.51,15
212.71,15
211.48,14
213.1,15
214.41,14
215.73,14
215.95,14
217.24,14
212.44,15
214.38,15
215.94,14
217.47,14
213.41,15
216.92,14
215.37,15
218.23,14
213.0,15
214.48,15
214.05,15
215.47,14
217.29,14
218.32,14
218.62,14
219.64,14
216.4,29
218.82,29
219.28,29
221.38,29
217.29,29
220.4,29
219.39,29
222.43,29
218.1,29
220.42,29
218.89,29
221.17,29
221.01,29
222.09,29
223.3,29
224.07,29
217.7,29
219.97,29
220.39,29
222.52,29
219.33,29
222.19,29
221.73,29
224.18,29
218.56,29
220.57,29
220.21,29
222.27,29
221.26,29
223.07,29
223.29,29
224.95,29
224.49,18
227.01,18
227.4,18
229.28,18
224.99,19
228.65,19
227.15,19
230.54,18
226.13,18
228.65,19
226.57,19
228.47,18
229.07,19
230.47,19
230.79,18
232.12,18
226.88,18
229.19,18
229.64,19
231.39,18
228.27,18
231.25,19
230.77,19
232.76,18
227.19,19
229.12,19
228.86,19
230.69,18
230.94,19
232.29,19
232.52,18
234.08,18
217.09,29
219.4,29
219.75,29
221.78,29
217.9,29
220.86,29
219.91,29
222.82,29
218.73,29
221.06,29
219.63,29
221.62,29
221.44,29
222.37,29
223.42,29
224.33,29
225.34,18
227.75,18
228.26,18
230.08,19
227.73,18
230.57,18
230.14,18
232.14,19
225.8,18
227.53,19
227.99,18
229.95,19
229.56,18
231.69,18
231.21,19
233.28,19
218.12,29
220.37,29
220.8,29
222.9,29
219.08,29
221.86,29
220.98,29
223.77,29
226.75,18
229.3,18
227.29,18
228.97,19
229.68,18
230.82,18
231.2,19
232.66,19
219.87,29
222.16,29
222.56,29
224.51,29
229.21,18
231.77,18
231.33,18
233.28,19
220.82,29
222.63,29
229.55,18
231.16,19
223.52,29
232.96,18
225.16,29
234.68,19
219.15,29
224.43,29
223.68,29
227.85,29
221.33,29
224.73,29
225.62,29
229.17,28
221.25,29
226.5,29
223.49,29
227.78,29
225.5,29
226.57,29
229.79,29
230.74,29
222.24,29
227.39,29
225.41,28
229.68,28
224.34,29
227.18,29
229.24,28
231.34,28
223.21,29
227.44,29
225.26,29
229.31,28
226.58,29
228.34,29
230.65,29
232.2,28
221.61,29
226.7,29
224.53,29
228.94,28
222.56,29
225.69,29
226.65,29
229.86,28
223.01,29
227.94,28
223.98,29
227.91,29
226.09,28
227.03,29
230.31,28
231.19,28
223.34,29
228.28,28
226.13,29
230.59,28
224.88,28
227.64,29
229.82,28
231.8,28
224.3,28
228.56,28
225.77,28
230.13,28
227.12,29
228.72,29
231.31,28
232.7,28
