PSNR-,Energy-
48.13708333,1651.960332
48.139,3323.151244
48.139,3134.942256
48.148,8077.788092
44.414,6506.946809
48.086,8162.070467
44.45,6751.140172
48.051,8313.539556
44.315,6855.862884
48.096,8019.508518
44.411,6337.564583
48.748,2923.998665
41.16,2668.929465
48.127,8390.534986
44.453,7003.450925
48.101,8140.975751
44.475,6575.534167
48.101,8156.773859
44.473,6606.30498
32.231,7868.200031
32.231,7870.46962
47.116,7776.5911
47.116,7771.407908
47.177,7758.210194
47.177,7745.617118
47.079,5778.052634
47.079,5753.874301
47.116,7764.463161
47.116,7771.424228
46.877,8042.220637
46.877,8043.757975
47.129,11525.51815
47.129,11529.15548
47.097,7370.65935
46.966,5907.352193
47.048,7724.354803
45.714,5980.579871
47.123,7782.303803
45.84,6068.781794
45.981,2250.343726
45.981,2266.6875
47.119,6834.50751
45.778,5878.172664
47.113,9454.898839
45.793,5831.149398
48.101,8140.863149
44.475,6564.127363
44.475,6575.501191
48.101,8125.747202
28.036,6725.174217
39.489,8221.163675
44.494,6580.311975
48.187,8137.338537
44.475,6583.344624
48.101,8144.650324
44.475,6577.02497
48.101,8140.452072
44.457,5048.85812
48.081,5831.323986
44.495,9449.981944
48.11,12443.5163
44.165,6882.457619
48.22,8522.71757
32.174,5928.133161
32.23,7629.191597
45.793,5853.171165
47.113,7572.423847
45.793,5857.434963
47.113,7556.005231
48.101,6517.164368
48.101,6510.804286
42.037,4583.428321
44.474,6648.428792
47.062,7470.129476
45.421,5687.362518
47.112,7711.976945
45.695,5860.016003
46.885,7705.027933
46.395,6223.966887
47.113,10478.37922
45.799,8836.455509
47.075,5989.33234
45.737,4261.333513
47.113,9482.850456
45.793,7302.265992
47.113,9467.959288
45.793,7306.21034
47.164,7543.374854
45.848,5851.145424
47.096,7568.929961
47.096,7605.507666
47.047,8007.340787
47.047,8028.632764
47.103,7930.4905
47.103,7931.712261
47.072,7671.284366
47.072,7669.454261
47.142,8095.364897
47.142,8138.71771
45.981,2813.8
45.981,2813.25943
47.04,8156.332929
46.8,8284.467948
46.913,7676.766223
46.877,7999.295685
47.053,7729.546753
46.877,8079.366719
47.129,11509.79605
47.079,5781.951463
47.121,11569.11162
47.072,5770.977391
45.981,2811.470537
45.981,2827.23447
47.149,12031.29099
47.097,6061.925149
47.001,5913.360112
47.066,12145.19712
47.066,5627.57226
47.117,11279.78752
47.029,5699.247198
47.084,11587.70552
47.054,5949.488945
47.123,11641.16231
46.835,5894.220924
46.905,11811.32519
47.116,7770.099564
47.116,7766.063065
47.106,7766.443548
47.106,7775.52457
47.073,7967.226667
47.117,7899.412259
45.981,2820.115225
45.981,2819.264197
47.006,7908.202616
47.031,7823.568146
46.878,8039.664071
47.099,7916.789866
46.877,8051.719131
47.103,7918.687527
46.881,8149.727941
47.127,8268.184242
45.981,2834.72619
45.981,2836.282652
45.981,2830.08059
44.997,2833.108929
47.197,8127.780814
33.595,8157.33003
47.058,8036.106107
37.511,8034.544966
47.157,7587.472314
32.047,7702.71756
47.079,5775.748368
47.079,5774.746852
47.177,7757.048273
32.231,7851.449456
47.169,7745.744256
32.764,7883.493536
47.072,7686.158338
47.072,7699.561656
47.103,7942.38125
47.103,7928.079531
46.877,8051.918273
46.877,8057.391767
47.129,11511.19236
47.129,11528.86338
45.981,2821.138831
45.981,2823.030436
47.142,8132.099357
47.142,8122.53072
47.047,8028.701862
47.047,8010.690691
47.096,7579.605167
47.096,7575.5428
47.106,7778.13805
47.106,7794.983973
47.116,7774.469412
47.116,7761.744377
32.231,7891.127479
47.177,7766.264946
32.229,5817.911337
47.131,5775.759403
32.231,7844.740598
47.177,7756.901238
32.23,8006.177066
47.1616,7906.508102
32.229,7773.020264
47.123,7657.693881
32.231,11698.90942
47.185,11529.72034
32.223,8134.540684
46.933,8047.301777
47.181,2181.969848
47.181,2169.790208
32.242,2208.678577
32.242,2218.874667
48.134,2333.441699
44.451,2012.039024
48.049,2322.059559
44.309,1948.908
48.097,2274.891259
44.401,1825.196747
48.148,2259.424653
44.421,1861.964011
48.105,2290.12449
44.48,1884.32982
48.112,2275.615826
44.473,1903.853041
48.748,1121.659868
41.161,963.1087193
47.106,6234.268735
45.981,2248.567989
47.12,7733.531344
47.056,7956.840252
47.142,8138.731753
47.047,8010.593789
45.981,2823.867251
45.981,2828.66863
47.089,7619.639687
47.067,7669.562883
47.096,7614.316691
47.072,7686.782337
47.104,2764.65069
45.69,2053.756154
46.89,2803.025221
46.392,2176.551189
47.095,2630.360213
46.965,2117.232075
47.055,2670.123831
45.41,1980.904274
47.107,2703.12736
45.793,2053.823318
47.107,2699.140098
45.793,2064.276423
47.117,4128.393844
45.801,3487.024051
47.074,2211.597771
45.74,1538.018731
45.793,2039.4665
47.107,2699.046919
45.793,2037.681618
47.107,2706.941754
45.849,2052.502797
